city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state,media_movel,variacao_semanal
Boqueirão do Piauí,2201945.0,884,13756.61376,2022-03-26,0.0158,14,6426.0,6407.0,True,655,city,PI,960.4285714285714,-0.22456140350877196
Brasileira,2201960.0,739,8853.48029,2022-03-26,0.0284,21,8347.0,8329.0,True,666,city,PI,1039.857142857143,3.0382513661202184
Brejo do Piauí,2201988.0,160,4158.00416,2022-03-26,0.0312,5,3848.0,3875.0,True,627,city,PI,976.0,-0.7364085667215816
Buriti dos Lopes,2202000.0,1494,7542.7879,2022-03-26,0.0248,37,19807.0,19781.0,True,696,city,PI,1125.0,2.3126385809312637
Buriti dos Montes,2202026.0,722,8736.68925,2022-03-26,0.0139,10,8264.0,8244.0,True,672,city,PI,679.5714285714286,-0.8119791666666667
Cabeceiras do Piauí,2202059.0,759,7140.16933,2022-03-26,0.0224,17,10630.0,10586.0,True,673,city,PI,753.7142857142857,2.1625
Cajazeiras do Piauí,2202075.0,83,2322.97789,2022-03-26,0.0241,2,3573.0,3559.0,True,669,city,PI,691.5714285714286,-0.8397683397683398
Cajueiro da Praia,2202083.0,499,6502.47589,2022-03-26,0.0421,21,7674.0,7642.0,True,658,city,PI,636.5714285714286,-0.43552036199095023
Caldeirão Grande do Piauí,2202091.0,551,9531.22297,2022-03-26,0.0036,2,5781.0,5776.0,True,669,city,PI,609.7142857142857,-0.25439783491204326
Campinas do Piauí,2202109.0,254,4519.57295,2022-03-26,0.0079,2,5620.0,5613.0,True,664,city,PI,623.1428571428571,0.5874999999999999
Campo Alegre do Fidalgo,2202117.0,404,7970.01381,2022-03-26,0.005,2,5069.0,5045.0,True,665,city,PI,467.42857142857144,-0.7295850066934404
Campo Grande do Piauí,2202133.0,518,8683.98994,2022-03-26,0.0212,11,5965.0,5943.0,True,677,city,PI,438.2857142857143,-0.2825484764542936
